Continent,Latitude,Longitude
Antarctique,-90.0,0
Océan Atlantique,-45.0,57.0
Océan Atlantique,-63.0,40.0
Océan Atlantique,31.0,-72.0
Océan Atlantique,22.0,-59.0
Océan Atlantique,9.0,-45.0
Océan Atlantique,-5.0,-31.0
Océan Atlantique,-25.0,-37.0
Océan Atlantique,-50.0,-50.0
Océan Atlantique,-51.0,-20.0
Océan Atlantique,-24.0,-16.0
Océan Atlantique,10.0,-30.0
Océan Atlantique,34.0,-38.0
Océan Atlantique,57.0,-26.0
Océan Atlantique,49.0,-15.0
Océan Atlantique,35.0,-19.0
Océan Atlantique,12.0,-22.0
Océan Atlantique,-1.0,1.5
Océan Atlantique,-20.0,9.0
Océan Atlantique,-42.0,9.0
Océan Indien,-36.0,22.0
Océan Indien,-57.0,30.0
Océan Indien,-30.0,35.0
Océan Indien,-20.0,52.0
Océan Indien,-4.7,42.0
Océan Indien,9.0,53.0
Océan Indien,22.7,63.0
Océan Indien,11.0,73.0
Océan Indien,3.5,78.6
Océan Indien,2.0,92.0
Océan Indien,-9.0,106.0
Océan Indien,-13.0,121.0
Océan Indien,-21.0,111.0
Océan Indien,-35.0,112.0
Océan Indien,-44.0,144.0
Océan Indien,-57.0,146.0
Océan Indien,-57.0,97.0
Océan Indien,37.0,87.0
Océan Indien,-13.0,78.0
Océan Pacifique,-59.0,149.0
Océan Pacifique,-51.0,-146.0
Océan Pacifique,-62.0,-67.0
Océan Pacifique,-52.0,-78.0
Océan Pacifique,-22.0,-74.0
Océan Pacifique,-6.0,-84.0
Océan Pacifique,7.0,-86.0
Océan Pacifique,16.0,-105.0
Océan Pacifique,32.0,-122.0
Océan Pacifique,52.0,-135.0
Océan Pacifique,52.0,-171.0
Océan Pacifique,52.0,161.0
Océan Pacifique,41.0,148.0
Océan Pacifique,24.0,128.0
Océan Pacifique,7.0,131.0
Océan Pacifique,2.0,154.0
Océan Pacifique,-13.0,175.0
Océan Pacifique,-32.0,-174.0
Océan Pacifique,-50.0,176.0
Océan Pacifique,-37.0,-126.0
Océan Pacifique,-2.0,-128.0
Océan Pacifique,34.0,-150.0
Amérique du Nord,61,-70
Amérique du Nord,52,-58
Amérique du Nord,42,-71
Amérique du Nord,32,-81
Amérique du Nord,17,-62
Amérique du Nord,33,-94
Amérique du Nord,46,-89
Amérique du Nord,28,-106
Amérique du Nord,56,-104
Amérique du Nord,57,-132
Amérique du Nord,39,-122
Amérique du Nord,43,-105
Amérique du Nord,70,-127
Amérique du Nord,70,-70
Amérique du Nord,63,-100
Océan Pacifique,24,130
Océan Pacifique,11,140
Océan Pacifique,28,160
Océan Pacifique,11,160
Océan Pacifique,50,174
Océan Pacifique,39,152
Océan Pacifique,7,144
Océan Pacifique,-1,161
Océan Pacifique,7,170
Océanie,-15,125
Océanie,-21,119
Océanie,-22,114
Océanie,-27,114
Océanie,-34,116
Océanie,-33,124
Océanie,-25,122
Océanie,-21,126
Océanie,-42,145
Amérique du Sud,-2,-45
Amérique du Sud,-6,-35
Amérique du Sud,-17,-39
Amérique du Sud,-26,-49
Océan Atlantique,9,-16
Océan Atlantique,4.5,-9.5
Océan Atlantique,2,-18
Océan Atlantique,-8,-10
Asie,55,160
Asie,65,-173
Asie,55,128
Asie,61,145
Asie,63,124